RK,Player Name,POS,AGE,BEST,WORST,AVG.,STD.DEV,ECR VS. ADP,Tier,Notes
1,Ashton Jeanty (LV),RB1,21,1,1,1,0,0,1,"Dynasty Outlook: I know this was the outcome that many mocked during the entire draft process, but now it is set in stone. The Raiders & Pete Carroll have their featured bellcow back. Jeanty should be the RB1 in this class for redraft and dynasty."
2,Tetairoa McMillan (CAR),WR1,22,2,7,3.9,1.4,-1,1,"Dynasty Outlook: The Carolina Panthers selected McMillan inside the top ten in the NFL Draft, giving Bryce Young a true WR1. McMillan could be a wonderful volume hog this year in what could quickly become a pass-heavy offense."
3,Omarion Hampton (LAC),RB2,22,2,4,2.3,0.6,0,1,"Dynasty Outlook: Hampton lands in Los Angeles with first-round draft capital attached to his name. While I know that Najee Harris is already on this roster, I'm not worried about Hampton's ability to take over as the lead back."
4,Travis Hunter (JAC),WR2,22,3,5,3.8,0.7,1,1,"Dynasty Outlook: The Jaguars paid a hefty price, but they got their guy in Travis Hunter. The Jags have stated that Hunter will begin his NFL career with the main focus being on the offensive side of the ball."
5,RJ Harvey (DEN),RB3,24,7,18,11.1,3.1,-5,2,"Dynasty Outlook: IT'S R.J. HARVEY'S WORLD & WE'RE ALL JUST LIVING IN IT! I couldn't be happier for Harvey and the Broncos. This is a wonderful pairing of situation and talent. Harvey will get the opportunity to prove he belongs."
6,TreVeyon Henderson (NE),RB4,22,4,11,6.7,2.4,0,2,"Dynasty Outlook: Henderson didn't get the first-round draft capital that we all hoped for, but he landed in the second round with the New England Patriots, so it's not all doom and gloom for his dynasty value."
7,Tyler Warren (IND),TE1,23,7,12,9.4,1.7,3,2,"Dynasty Outlook: Warren got the ballyhooed first-round draft capital that we all figured he would. The landing spot is rough, though. Indy has a ton of talented pass-catching options, so Warren will have to compete for targets."
8,Colston Loveland (CHI),TE2,21,5,12,7.9,2.1,10,2,"Dynasty Outlook: Loveland surprised some in the NFL Draft as the first tight end off the board. I'm not shocked by it, but I did think Warren would hear his name called first. Loveland should be a solid contributor."
9,Kaleb Johnson (PIT),RB5,21,5,12,9.4,2.1,-1,2,"Dynasty Outlook: After Johnson was maligned after the combine for his 'slow' 40-yard dash time, the fantasy community seemingly was turned off by him. I never waivered in my love for his game."
10,Tre Harris (LAC),WR3,23,11,17,14.1,1.8,0,3,"Dynasty Outlook: Harris, the soul-snatching route savant, lands with the Bolts in the second round of the NFL Draft and should quickly become Justin Herbert's trusted second option."
11,Emeka Egbuka (TB),WR4,22,4,13,8.3,2.3,2,3,"Dynasty Outlook: Egbuka is this year's Jaxon Smith-Njigba or Rome Odunze. The talented first-round selection in the NFL draft finds himself in a squeeze for target volume immediately."
