Position,Player,Type,ADP,Bye,NEWS / NOTES
RB,Ashton Jeanty (LV - BYE: 8),Rookie,4,8,"Ashton Jeanty adjusts stance in Raiders OTAs »"
TE,Tyler Warren (IND - BYE: 11),Rookie,9,11,"Tyler Warren signs four-year contract with Colts »"
TE,Colston Loveland (CHI - BYE: 5),Rookie,11,5,"Colston Loveland sits out OTA practice »"
RB,Omarion Hampton (LAC - BYE: 12),Rookie,14,12,"Omarion Hampton signs rookie contract with Chargers »"
TE,Brenton Strange (JAC - BYE: 8),Veteran,19,8,""
RB,TreVeyon Henderson (NE - BYE: 14),Rookie,19,14,"The Patriots drafted TreVeyon Henderson in the second round of th..."
WR,Tetairoa McMillan (CAR - BYE: 14),Rookie,24,14,"Tetairoa McMillan signs rookie contract with Panthers »"
RB,Kaleb Johnson (PIT - BYE: 5),Rookie,24,5,"The Steelers jettisoned Najee Harris and drafted his replacement ..."
TE,Mason Taylor (NYJ - BYE: 9),Rookie,26,9,"Mason Taylor expected to have immediate role as rookie »"
QB,Cameron Ward (TEN - BYE: 10),Rookie,27,10,"Cameron Ward signs rookie contract with Titans »"
TE,Cole Kmet (CHI - BYE: 5),Veteran,28,5,""
QB,Russell Wilson (NYG - BYE: 14),Veteran,29,14,"Russell Wilson locks in as Giants Week 1 starter »"
TE,Juwan Johnson (NO - BYE: 11),Veteran,29,11,""
WR,Travis Hunter (JAC - BYE: 8),Rookie,29,8,"The Jaguars made a bold move by trading up to No. 2 overall to la..."
QB,Aaron Rodgers (FA),Veteran,30,,"Aaron Rodgers: Steelers to wait 'a little longer' »"
TE,Tyler Higbee (LAR - BYE: 8),Veteran,31,8,""
QB,Jaxson Dart (NYG - BYE: 14),Rookie,31,14,"Jaxson Dart expected to sit entire rookie year 'if all goes well' »"
QB,Tyler Shough (NO - BYE: 11),Rookie,32,11,"Tyler Shough rotating with first-team in OTAs »"
TE,Harold Fannin Jr. (CLE - BYE: 9),Rookie,32,9,"Harold Fannin Jr. signs rookie contract with Browns »"
QB,Shedeur Sanders (CLE - BYE: 9),Rookie,33,9,"Shedeur Sanders signs rookie contract with Browns »"
TE,Theo Johnson (NYG - BYE: 14),Rookie,33,14,""
QB,Daniel Jones (IND - BYE: 11),Veteran,35,11,""
QB,Jalen Milroe (SEA - BYE: 8),Rookie,36,8,"Jalen Milroe signs rookie contract with Seahawks »"
TE,Tyler Conklin (LAC - BYE: 12),Veteran,36,12,""
QB,Joe Flacco (CLE - BYE: 9),Veteran,37,9,""
TE,Terrance Ferguson (LAR - BYE: 8),Rookie,37,8,""
QB,Kirk Cousins (ATL - BYE: 5),Veteran,38,5,""
TE,Noah Fant (SEA - BYE: 8),Veteran,38,8,""
QB,Aidan O'Connell (LV - BYE: 8),Rookie,39,8,""
WR,Ricky Pearsall (SF - BYE: 14),Rookie,40,14,"Ricky Pearsall battled through adversity in 2024, returning from ..."
QB,Spencer Rattler (NO - BYE: 11),Rookie,40,11,"Spencer Rattler steps up in Saints OTAs »"
QB,Kenny Pickett (CLE - BYE: 9),Veteran,41,9,""
QB,Will Howard (PIT - BYE: 5),Rookie,42,5,""
TE,Will Dissly (LAC - BYE: 12),Veteran,42,12,""
TE,AJ Barner (SEA - BYE: 8),Rookie,43,8,""
WR,Matthew Golden (GB - BYE: 5),Rookie,44,5,"The Packers made a forward-thinking move by drafting Matthew Gold..."
TE,Luke Schoonmaker (DAL - BYE: 10),Rookie,45,10,""
TE,Dawson Knox (BUF - BYE: 7),Veteran,46,7,""
WR,Jayden Higgins (HOU - BYE: 6),Rookie,53,6,"Jayden Higgins lands in a dream fantasy spot after being selected..."
TE,Oronde Gadsden II (LAC - BYE: 12),Rookie,54,12,""
WR,Tre Harris (LAC - BYE: 12),Rookie,55,12,"Tre Harris lands in a near-perfect depth chart situation with the..."
WR,Christian Kirk (HOU - BYE: 6),Veteran,56,6,"Christian Kirk joins the Texans after being acquired for a sevent..."
RB,Justice Hill (BAL - BYE: 7),Veteran,59,7,""
WR,Jalen McMillan (TB - BYE: 9),Rookie,60,9,"Jalen McMillan caught fire late in his rookie year, posting five ..."
TE,Jelani Woods (IND - BYE: 11),Veteran,62,11,""
WR,Kyle Williams (NE - BYE: 14),Rookie,63,14,"Kyle Williams enters the NFL as one of the most dynamic rookie wi..."
WR,Jack Bech (LV - BYE: 8),Rookie,66,8,"Jack Bech was one of the most efficient receivers in the 2025 cla..."
TE,Jeremy Ruckert (NYJ - BYE: 9),Veteran,67,9,""
RB,Ollie Gordon II (MIA - BYE: 12),Rookie,67,12,""
RB,Damien Martinez (SEA - BYE: 8),Rookie,68,8,"Damien Martinez signs rookie deal with Seahawks »"
RB,Elijah Mitchell (KC - BYE: 10),Veteran,69,10,""
RB,Jordan James (SF - BYE: 14),Rookie,70,14,"Jordan James signs rookie deal with 49ers »"
TE,Kylen Granson (PHI - BYE: 9),Veteran,71,9,""
