Position,ECR,Player,ADP,Bye,News / Notes
RB,3,Ashton Jeanty(LV - BYE: 8),4,8,Ashton Jeanty adjusts stance in Raiders OTAs »
RB,7,Omarion Hampton(LAC - BYE: 12),14,12,Omarion Hampton signs rookie contract with Chargers »
RB,15,Quinshon Judkins(CLE - BYE: 9),23,9,The Browns selected Judkins in the second round of the NFL Draft ...
RB,16,TreVeyon Henderson(NE - BYE: 14),19,14,The Patriots drafted TreVeyon Henderson in the second round of th...
RB,21,Kaleb Johnson(PIT - BYE: 5),24,5,The Steelers jettisoned Najee Harris and drafted his replacement ...
RB,24,RJ Harvey(DEN - BYE: 12),31,12,Harvey is set to explode in his rookie season. The runway is clea...
RB,31,Cam Skattebo(NYG - BYE: 14),30,14,Cam Skattebo eyes Giants RB2 role in 2025 »
RB,39,Bhayshul Tuten(JAC - BYE: 8),39,8,Tugboat Tuten found a port in the NFL with the Jacksonville Jagua...
RB,44,Jordan Mason(MIN - BYE: 6),35,6,Mason moves from San Francisco to Minnesota in an offseason trade...
RB,49,Jaydon Blue(DAL - BYE: 10),50,10,Blue fell to the fifth round of the NFL Draft as he was swimming ...
RB,51,Dylan Sampson(CLE - BYE: 9),47,9,Sampson joins the Cleveland Browns after being selected in the fo...
RB,53,Tyler Allgeier(ATL - BYE: 5),48,5,Tyler Allgeier remains an elite handcuff option with some standal...
RB,54,Devin Neal(NO - BYE: 11),54,11,Devin Neal signs rookie deal with Saints »
RB,58,DJ Giddens(IND - BYE: 11),52,11,Giddens was the 15th running back selected in the draft as he lan...
RB,59,Audric Estime(DEN - BYE: 12),80,12,
RB,60,Ollie Gordon II(MIA - BYE: 12),67,12,
RB,62,Roschon Johnson(CHI - BYE: 5),66,5,
RB,63,Jaleel McLaughlin(DEN - BYE: 12),75,12,
RB,66,Kendre Miller(NO - BYE: 11),78,11,Kendre Miller entering 'blank slate' with new Saints coaching staff »
RB,67,Damien Martinez(SEA - BYE: 8),68,8,Damien Martinez signs rookie deal with Seahawks »
RB,68,Devin Singletary(NYG - BYE: 14),89,14,
RB,69,Antonio Gibson(NE - BYE: 14),84,14,
RB,70,Jarquez Hunter(LAR - BYE: 8),63,8,Hunter is arbitrage Bhayshul Tuten in fantasy football drafts. Hu...
RB,72,Will Shipley(PHI - BYE: 9),58,9,
RB,73,Tahj Brooks(CIN - BYE: 10),72,10,Brooks lands in Cincy via the sixth round of the NFL Draft. With ...
RB,75,Keaton Mitchell(BAL - BYE: 7),76,7,
RB,76,Miles Sanders(DAL - BYE: 10),81,10,
RB,78,Justice Hill(BAL - BYE: 7),59,7,
RB,79,Elijah Mitchell(KC - BYE: 10),69,10,
RB,80,Trevor Etienne(CAR - BYE: 14),73,14,Trevor Etienne signs rookie contract with Panthers »
RB,81,Khalil Herbert(IND - BYE: 11),90,11,
RB,84,Kenneth Gainwell(PIT - BYE: 5),93,5,
RB,85,Sean Tucker(TB - BYE: 9),71,9,
RB,86,Dameon Pierce(HOU - BYE: 6),95,6,
RB,87,Jordan James(SF - BYE: 14),70,14,Jordan James signs rookie deal with 49ers »
RB,88,Kyle Monangai(CHI - BYE: 5),88,5,Kyle Monangai signs rookie contract with Bears »
RB,90,Woody Marks(HOU - BYE: 6),74,6,The Texans added Marks to their backfield in the fourth round of ...
RB,91,Brashard Smith(KC - BYE: 10),62,10,Smith was another talented victim of this deep running back class...
RB,92,Ty Chandler(MIN - BYE: 6),123,6,
