Position,ECR,Player,ADP,Bye,News / Notes
TE,6,Colston Loveland(CHI - BYE: 5),11,5,Colston Loveland sits out OTA practice »
TE,7,Tyler Warren(IND - BYE: 11),9,11,Tyler Warren signs four-year contract with Colts »
TE,17,Mason Taylor(NYJ - BYE: 9),26,9,Mason Taylor expected to have immediate role as rookie »
TE,21,Elijah Arroyo(SEA - BYE: 8),34,8,
TE,23,Harold Fannin Jr.(CLE - BYE: 9),32,9,Harold Fannin Jr. signs rookie contract with Browns »
TE,24,Cole Kmet(CHI - BYE: 5),28,5,
TE,27,Theo Johnson(NYG - BYE: 14),33,14,
TE,29,Chig Okonkwo(TEN - BYE: 10),27,10,
TE,30,Mike Gesicki(CIN - BYE: 10),23,10,
TE,31,Brenton Strange(JAC - BYE: 8),19,8,
TE,34,Terrance Ferguson(LAR - BYE: 8),37,8,
TE,35,Noah Fant(SEA - BYE: 8),38,8,
TE,36,Juwan Johnson(NO - BYE: 11),29,11,
TE,40,Tyler Higbee(LAR - BYE: 8),31,8,
TE,41,Oronde Gadsden II(LAC - BYE: 12),54,12,
TE,43,Will Dissly(LAC - BYE: 12),42,12,
TE,44,Tyler Conklin(LAC - BYE: 12),36,12,
TE,45,Gunnar Helm(TEN - BYE: 10),47,10,
TE,46,Dawson Knox(BUF - BYE: 7),46,7,
TE,47,Cade Stover(HOU - BYE: 6),51,6,
TE,48,Erick All Jr.(CIN - BYE: 10),77,10,
TE,49,Luke Schoonmaker(DAL - BYE: 10),45,10,
TE,50,AJ Barner(SEA - BYE: 8),43,8,
TE,51,Darnell Washington(PIT - BYE: 5),48,5,
TE,52,Jeremy Ruckert(NYJ - BYE: 9),67,9,
TE,53,Colby Parkinson(LAR - BYE: 8),74,8,
TE,54,Austin Hooper(NE - BYE: 14),50,14,
TE,55,Foster Moreau(NO - BYE: 11),,11,Foster Moreau (knee) not participating in OTAs »
TE,56,Daniel Bellinger(NYG - BYE: 14),63,14,
TE,57,Jelani Woods(IND - BYE: 11),62,11,
TE,58,Jared Wiley(KC - BYE: 10),,10,
TE,59,Greg Dulcich(NYG - BYE: 14),,14,
TE,60,Tommy Tremble(CAR - BYE: 14),52,14,
TE,62,Mitchell Evans(CAR - BYE: 14),72,14,
TE,63,Luke Lachey(HOU - BYE: 6),,6,
TE,64,Kylen Granson(PHI - BYE: 9),71,9,
TE,65,Josh Oliver(MIN - BYE: 6),,6,
TE,66,Davis Allen(LAR - BYE: 8),,8,
TE,67,Brevin Jordan(HOU - BYE: 6),,6,
TE,68,Charlie Kolar(BAL - BYE: 7),,7,
TE,69,Adam Trautman(DEN - BYE: 12),,12,
TE,70,Jaheim Bell(NE - BYE: 14),,14,
TE,71,Gavin Bartholomew(MIN - BYE: 6),,6,
TE,72,Hayden Hurst(FA),,,
TE,73,Gerald Everett(FA),,,
TE,74,Will Mallory(IND - BYE: 11),,11,
TE,76,Grant Calcaterra(PHI - BYE: 9),61,9,
TE,77,Jake Briningstool(KC - BYE: 10),,10,
TE,78,Elijah Higgins(ARI - BYE: 8),57,8,
TE,79,Tip Reiman(ARI - BYE: 8),,8,
TE,80,Stone Smartt(NYJ - BYE: 9),66,9,
TE,81,Brock Wright(DET - BYE: 8),49,8,
TE,82,Tanner Hudson(CIN - BYE: 10),,10,
TE,83,Lucas Krull(DEN - BYE: 12),73,12,
TE,84,Jalin Conyers(MIA - BYE: 12),,12,
TE,85,Harrison Bryant(PHI - BYE: 9),56,9,
TE,87,Johnny Mundt(JAC - BYE: 8),65,8,
TE,88,Hunter Long(JAC - BYE: 8),,8,
TE,89,Josh Whyle(TEN - BYE: 10),53,10,
TE,90,John Bates(WAS - BYE: 12),75,12,
TE,91,Dallin Holker(NO - BYE: 11),,11,
TE,93,Drew Ogletree(IND - BYE: 11),,11,
TE,94,Tanner McLachlan(CIN - BYE: 10),,10,
TE,95,Mo Alie-Cox(IND - BYE: 11),,11,
TE,96,Luke Farrell(SF - BYE: 14),,14,
TE,97,Jordan Akins(FA),,,
TE,98,Drew Sample(CIN - BYE: 10),,10,
TE,99,Payne Durham(TB - BYE: 9),58,9,
TE,100,Moliki Matavao(NO - BYE: 11),,11,
TE,103,Devin Culp(TB - BYE: 9),55,9,
TE,104,Cole Turner(WAS - BYE: 12),,12,
TE,105,Durham Smythe(CHI - BYE: 5),,5,
TE,108,Eric Saubert(SEA - BYE: 8),,8,
TE,111,Ian Thomas(LV - BYE: 8),,8,
TE,112,Caleb Lohner(DEN - BYE: 12),,12,
TE,113,Charlie Woerner(ATL - BYE: 5),64,5,
TE,114,Kenny Yeboah(DET - BYE: 8),,8,
TE,115,Julian Hill(MIA - BYE: 12),,12,
TE,118,Connor Heyward(PIT - BYE: 5),,5,
TE,119,James Mitchell(CAR - BYE: 14),,14,
TE,122,Nick Vannett(FA),,,
TE,123,Teagan Quitoriano(ATL - BYE: 5),,5,
TE,124,Logan Thomas(FA),,,
TE,127,Nate Adkins(DEN - BYE: 12),,12,
TE,128,Blake Whiteheart(CLE - BYE: 9),,9,
TE,130,Quintin Morris(JAC - BYE: 8),,8,Quintin Morris signs with Jaguars »
TE,132,Tucker Fisk(LAC - BYE: 12),,12,
TE,135,Jackson Hawes(BUF - BYE: 7),,7,
TE,137,Josiah Deguara(ARI - BYE: 8),,8,
TE,140,Robbie Ouzts(SEA - BYE: 8),,8,
TE,141,Ben Sims(GB - BYE: 5),,5,
TE,143,Ross Dwelley(SF - BYE: 14),,14,
TE,148,Geoff Swaim(FA),,,
