Position,ECR,Player,ADP,Bye,News / Notes
WR,16,Travis Hunter(JAC - BYE: 8),29,8,The Jaguars made a bold move by trading up to No. 2 overall to la...
WR,17,Tetairoa McMillan(CAR - BYE: 14),24,14,Tetairoa McMillan signs rookie contract with Panthers »
WR,30,Emeka Egbuka(TB - BYE: 9),47,9,Emeka Egbuka lands in a crowded but intriguing spot in Tampa Bay ...
WR,36,Matthew Golden(GB - BYE: 5),44,5,The Packers made a forward-thinking move by drafting Matthew Gold...
WR,37,Luther Burden III(CHI - BYE: 5),50,5,Luther Burden III misses practice Wednesday with soft tissue injury »
WR,41,Ricky Pearsall(SF - BYE: 14),40,14,"Ricky Pearsall battled through adversity in 2024, returning from ..."
WR,45,Jayden Higgins(HOU - BYE: 6),53,6,Jayden Higgins lands in a dream fantasy spot after being selected...
WR,47,Tre Harris(LAC - BYE: 12),55,12,Tre Harris lands in a near-perfect depth chart situation with the...
WR,53,Jalen McMillan(TB - BYE: 9),60,9,"Jalen McMillan caught fire late in his rookie year, posting five ..."
WR,54,Jack Bech(LV - BYE: 8),66,8,Jack Bech was one of the most efficient receivers in the 2025 cla...
WR,59,Kyle Williams(NE - BYE: 14),63,14,Kyle Williams enters the NFL as one of the most dynamic rookie wi...
WR,60,Jaylin Noel(HOU - BYE: 6),71,6,Jaylin Noel is one of the most exciting under-the-radar rookie wi...
WR,61,Christian Kirk(HOU - BYE: 6),56,6,Christian Kirk joins the Texans after being acquired for a sevent...
WR,62,Rashod Bateman(BAL - BYE: 7),54,7,Rashod Bateman finally stayed healthy in 2024 - and delivered his...
WR,63,Cedric Tillman(CLE - BYE: 9),67,9,Cedric Tillman flashed major second-year breakout potential in 20...
WR,65,Marvin Mims Jr.(DEN - BYE: 12),58,12,"Marvin Mims flashed major upside in the second half of 2024, aver..."
WR,67,Elic Ayomanor(TEN - BYE: 10),75,10,Elic Ayomanor was drafted by the Titans in Round 4. The former St...
WR,71,Adonai Mitchell(IND - BYE: 11),85,11,Adonai Mitchell is a dark-horse Year 2 breakout candidate after f...
WR,72,Jalen Coker(CAR - BYE: 14),74,14,"Jalen Coker was one of 2024's biggest surprises, rising from undr..."
WR,75,Jalen Royals(KC - BYE: 10),80,10,Jalen Royals signs rookie contract with Chiefs »
WR,76,Joshua Palmer(BUF - BYE: 7),70,7,"Josh Palmer quietly landed in a prime fantasy spot, signing a thr..."
WR,78,Christian Watson(GB - BYE: 5),119,5,
WR,79,Dontayvion Wicks(GB - BYE: 5),76,5,Dontayvion Wicks entered 2024 as a trendy breakout pick but fell ...
WR,81,Diontae Johnson(CLE - BYE: 9),109,9,
WR,84,Alec Pierce(IND - BYE: 11),73,11,"Alec Pierce emerged as a legit deep threat in 2024, with a mini-b..."
WR,85,Michael Wilson(ARI - BYE: 8),79,8,
WR,86,Andrei Iosivas(CIN - BYE: 10),82,10,
WR,87,Jalen Tolbert(DAL - BYE: 10),83,10,
WR,88,Xavier Restrepo(TEN - BYE: 10),102,10,
WR,89,Troy Franklin(DEN - BYE: 12),91,12,
WR,90,Roman Wilson(PIT - BYE: 5),106,5,
WR,91,Tez Johnson(TB - BYE: 9),130,9,Tez Johnson signs rookie contract with Buccaneers »
WR,92,Isaiah Bond(FA),103,,
WR,93,Malik Washington(MIA - BYE: 12),116,12,
WR,94,Tory Horton(SEA - BYE: 8),92,8,Tory Horton signs rookie contract with Seahawks »
WR,95,Elijah Moore(BUF - BYE: 7),117,7,
WR,97,Darius Slayton(NYG - BYE: 14),81,14,
WR,98,Parker Washington(JAC - BYE: 8),97,8,
WR,99,Luke McCaffrey(WAS - BYE: 12),131,12,
WR,100,Pat Bryant(DEN - BYE: 12),88,12,
WR,101,Brandin Cooks(NO - BYE: 11),120,11,
WR,102,Kayshon Boutte(NE - BYE: 14),100,14,
WR,103,Jordan Whittington(LAR - BYE: 8),107,8,
WR,104,Ja'Lynn Polk(NE - BYE: 14),135,14,
WR,105,Devaughn Vele(DEN - BYE: 12),113,12,
WR,106,Savion Williams(GB - BYE: 5),90,5,Savion Williams may slot into limited role »
WR,107,Gabe Davis(FA),108,,Gabe Davis visiting Giants Wednesday »
WR,108,Calvin Austin III(PIT - BYE: 5),95,5,
