Player,ADP,Bye,NEWS / NOTES
Ashton Jeanty (LV - BYE: 8),4,8,"Ashton Jeanty adjusts stance in Raiders OTAs »"
Omarion Hampton (LAC - BYE: 12),14,12,"Omarion Hampton signs rookie contract with Chargers »"
TreVeyon Henderson (NE - BYE: 14),19,14,"The Patriots drafted TreVeyon Henderson in the second round of th..."
RJ Harvey (DEN - BYE: 12),31,12,"Harvey is set to explode in his rookie season. The runway is clea..."
Quinshon Judkins (CLE - BYE: 9),23,9,"The Browns selected Judkins in the second round of the NFL Draft ..."
Kaleb Johnson (PIT - BYE: 5),24,5,"The Steelers jettisoned Najee Harris and drafted his replacement ..."
Jordan Mason (MIN - BYE: 6),35,6,"Mason moves from San Francisco to Minnesota in an offseason trade..."
Cam Skattebo (NYG - BYE: 14),30,14,"Cam Skattebo eyes Giants RB2 role in 2025 »"
Tyler Allgeier (ATL - BYE: 5),48,5,"Tyler Allgeier remains an elite handcuff option with some standal..."
Bhayshul Tuten (JAC - BYE: 8),39,8,"Tugboat Tuten found a port in the NFL with the Jacksonville Jagua..."
Roschon Johnson (CHI - BYE: 5),66,5,
Jaydon Blue (DAL - BYE: 10),50,10,"Blue fell to the fifth round of the NFL Draft as he was swimming ..."
Audric Estime (DEN - BYE: 12),80,12,
Jaleel McLaughlin (DEN - BYE: 12),75,12,
Dylan Sampson (CLE - BYE: 9),47,9,"Sampson joins the Cleveland Browns after being selected in the fo..."
Devin Neal (NO - BYE: 11),54,11,"Devin Neal signs rookie deal with Saints »"
Kendre Miller (NO - BYE: 11),78,11,"Kendre Miller entering 'blank slate' with new Saints coaching staff »"
Justice Hill (BAL - BYE: 7),59,7,
Antonio Gibson (NE - BYE: 14),84,14,
Kenneth Gainwell (PIT - BYE: 5),93,5,
Ollie Gordon II (MIA - BYE: 12),67,12,
Elijah Mitchell (KC - BYE: 10),69,10,
Devin Singletary (NYG - BYE: 14),89,14,
DJ Giddens (IND - BYE: 11),52,11,"Giddens was the 15th running back selected in the draft as he lan..."
Kyle Monangai (CHI - BYE: 5),88,5,"Kyle Monangai signs rookie contract with Bears »"
Khalil Herbert (IND - BYE: 11),90,11,
Keaton Mitchell (BAL - BYE: 7),76,7,
Damien Martinez (SEA - BYE: 8),68,8,"Damien Martinez signs rookie deal with Seahawks »"
Miles Sanders (DAL - BYE: 10),81,10,
Sincere McCormick (LV - BYE: 8),113,8,
Trevor Etienne (CAR - BYE: 14),73,14,"Trevor Etienne signs rookie contract with Panthers »"
Will Shipley (PHI - BYE: 9),58,9,
Dameon Pierce (HOU - BYE: 6),95,6,
Ty Johnson (BUF - BYE: 7),79,7,
Sean Tucker (TB - BYE: 9),71,9,
Tahj Brooks (CIN - BYE: 10),72,10,"Brooks lands in Cincy via the sixth round of the NFL Draft. With ..."
Jordan James (SF - BYE: 14),70,14,"Jordan James signs rookie deal with 49ers »"
Jarquez Hunter (LAR - BYE: 8),63,8,"Hunter is arbitrage Bhayshul Tuten in fantasy football drafts. Hu..."
Brashard Smith (KC - BYE: 10),62,10,"Smith was another talented victim of this deep running back class..."
Woody Marks (HOU - BYE: 6),74,6,"The Texans added Marks to their backfield in the fourth round of ..."
Chris Brooks (GB - BYE: 5),,5,
Ty Chandler (MIN - BYE: 6),123,6,
Gus Edwards (FA),104,,
Chris Rodriguez Jr. (WAS - BYE: 12),116,12,
Raheim Sanders (LAC - BYE: 12),82,12,
Emanuel Wilson (GB - BYE: 5),98,5,
Phil Mafah (DAL - BYE: 10),112,10,
Cam Akers (FA),121,,
Donovan Edwards (NYJ - BYE: 9),97,9,
Jacory Croskey-Merritt (WAS - BYE: 12),83,12,
Ameer Abdullah (FA),120,,
Trey Sermon (PIT - BYE: 5),,5,"Trey Sermon signs one-year deal with Steelers »"
Ja'Quinden Jackson (JAC - BYE: 8),,8,
Kalel Mullings (TEN - BYE: 10),117,10,
LeQuint Allen Jr. (JAC - BYE: 8),85,8,"LeQuint Allen Jr. could play a role in the slot »"
Samaje Perine (CIN - BYE: 10),107,10,
D'Ernest Johnson (FA),,,
Chris Tyree (NO - BYE: 11),,11,
Jaydn Ott (FA),,,
Marcus Yarns (NO - BYE: 11),99,11,
Jeremy McNichols (WAS - BYE: 12),129,12,
Clyde Edwards-Helaire (NO - BYE: 11),101,11,
Emari Demercado (ARI - BYE: 8),110,8,
Tyler Goodson (IND - BYE: 11),127,11,
Tyler Badie (DEN - BYE: 12),128,12,
Israel Abanikanda (SF - BYE: 14),,14,
Ezekiel Elliott (FA),92,,
Michael Carter (ARI - BYE: 8),102,8,
Corey Kiner (SF - BYE: 14),115,14,
Kenny McIntosh (SEA - BYE: 8),,8,
Craig Reynolds (DET - BYE: 8),,8,
Pierre Strong Jr. (CLE - BYE: 9),,9,
Dylan Laube (LV - BYE: 8),,8,
Eric Gray (NYG - BYE: 14),,14,
Kyle Juszczyk (SF - BYE: 14),105,14,
Deuce Vaughn (DAL - BYE: 10),106,10,
Julius Chestnut (TEN - BYE: 10),,10,
Cordarrelle Patterson (PIT - BYE: 5),,5,
Cody Schrader (LAR - BYE: 8),,8,
Blake Watson (DEN - BYE: 12),,12,
Raheem Blackshear (CAR - BYE: 14),,14,
Dare Ogunbowale (HOU - BYE: 6),,6,
Alec Ingold (MIA - BYE: 12),,12,
Hassan Haskins (LAC - BYE: 12),,12,
Michael Burton (DEN - BYE: 12),,12,
Carson Steele (KC - BYE: 10),108,10,
Jase McClellan (ATL - BYE: 5),,5,
Kene Nwangwu (NYJ - BYE: 9),,9,
Jordan Mims (FA),,,"Jordan Mims works out for Patriots »"
Reggie Gilliam (BUF - BYE: 7),,7,
Keilan Robinson (JAC - BYE: 8),,8,
Rasheen Ali (BAL - BYE: 7),,7,
Darrynton Evans (BUF - BYE: 7),,7,
Evan Hull (PIT - BYE: 5),,5,
Jamaal Williams (FA),,,
Patrick Ricard (BAL - BYE: 7),,7,
Trayveon Williams (NE - BYE: 14),,14,"Trayveon Williams signs with Patriots »"
C.J. Ham (MIN - BYE: 6),,6,
Tre Stewart (MIN - BYE: 6),,6,
Kendall Milton (CIN - BYE: 10),,10,
