Player,ADP,Bye,NEWS / NOTES
Colston Loveland (CHI - BYE: 5),11,5,"Colston Loveland sits out OTA practice »"
Tyler Warren (IND - BYE: 11),9,11,"Tyler Warren signs four-year contract with Colts »"
Mason Taylor (NYJ - BYE: 9),26,9,"Mason Taylor expected to have immediate role as rookie »"
Elijah Arroyo (SEA - BYE: 8),34,8,
Harold Fannin Jr. (CLE - BYE: 9),32,9,"Harold Fannin Jr. signs rookie contract with Browns »"
Cole Kmet (CHI - BYE: 5),28,5,
Theo Johnson (NYG - BYE: 14),33,14,
Chig Okonkwo (TEN - BYE: 10),27,10,
Mike Gesicki (CIN - BYE: 10),23,10,
Brenton Strange (JAC - BYE: 8),19,8,
Terrance Ferguson (LAR - BYE: 8),37,8,
Noah Fant (SEA - BYE: 8),38,8,
Juwan Johnson (NO - BYE: 11),29,11,
Tyler Higbee (LAR - BYE: 8),31,8,
Oronde Gadsden II (LAC - BYE: 12),54,12,
Will Dissly (LAC - BYE: 12),42,12,
Tyler Conklin (LAC - BYE: 12),36,12,
Gunnar Helm (TEN - BYE: 10),47,10,
Dawson Knox (BUF - BYE: 7),46,7,
Cade Stover (HOU - BYE: 6),51,6,
Erick All Jr. (CIN - BYE: 10),77,10,
Luke Schoonmaker (DAL - BYE: 10),45,10,
AJ Barner (SEA - BYE: 8),43,8,
Darnell Washington (PIT - BYE: 5),48,5,
Jeremy Ruckert (NYJ - BYE: 9),67,9,
Colby Parkinson (LAR - BYE: 8),74,8,
Austin Hooper (NE - BYE: 14),50,14,
Foster Moreau (NO - BYE: 11),,11,"Foster Moreau (knee) not participating in OTAs »"
Daniel Bellinger (NYG - BYE: 14),63,14,
Jelani Woods (IND - BYE: 11),62,11,
Jared Wiley (KC - BYE: 10),,10,
Greg Dulcich (NYG - BYE: 14),,14,
Tommy Tremble (CAR - BYE: 14),52,14,
Mitchell Evans (CAR - BYE: 14),72,14,
Luke Lachey (HOU - BYE: 6),,6,
Kylen Granson (PHI - BYE: 9),71,9,
Josh Oliver (MIN - BYE: 6),,6,
Davis Allen (LAR - BYE: 8),,8,
Brevin Jordan (HOU - BYE: 6),,6,
Charlie Kolar (BAL - BYE: 7),,7,
Adam Trautman (DEN - BYE: 12),,12,
Jaheim Bell (NE - BYE: 14),,14,
Gavin Bartholomew (MIN - BYE: 6),,6,
