Round 1,,,,,,,,
Pick,Rnd. Pick,Team,Player,Pos.,College,Actual,Notes,
1,1,Tennessee Titans,Cam Ward,QB,Miami (FL),,"It's tough to win in the NFL without a good quarterback, and the Titans hope to right the ship by selecting Ward. The Miami (FL) product earned a 93.7 PFF passing grade on intermediate throws and a 95.0 PFF passing grade on deep shots in 2024. His 31 big-time throws ranked second among quarterbacks this past season.",
2,2,Cleveland Browns,Shedeur Sanders,QB,Colorado,,"The Browns have two apparent options here: Shedeur Sanders or trade back. And I (John Kosko) didn't even consider trading back. Sanders' 94.3 PFF passing grade in the two-minute drill at Colorado last season was the best mark of any quarterback since 2014. He helped turn the Buffaloes into a playoff contender, and he's ready to do the same for the Browns.",
3,3,New York Giants,Travis Hunter,CB/WR,Colorado,,"Hunter's elite skills at cornerback and wide receiver (11 interceptions, 14 touchdowns) make him the draft's most versatile weapon. He'll lock down receivers and create mismatches on offense, becoming a cornerstone for the Giants on both sides of the ball. He played a whopping 1,552 combined snaps in 2024.",
4,4,New England Patriots,Abdul Carter,EDGE,Penn State,,"Despite needing to address other positions, New England can't pass on a talent like Abdul Carter. The Patriots are likely a season away from truly being competitive, so at worst, they'll aim to address offensive line concerns in next year's draft, though they'll be crossing their fingers that Drake Maye survives unscathed to see it come to fruition.",
5,5,Jacksonville Jaguars,Mason Graham,DI,Michigan,,"There may not be a better player-team fit in this draft than Mason Graham to the Jaguars, who need to shore up their interior defensive line. Just flip on the Michigan–Ohio State game, and you'll see everything you need to know about Graham. He led all college interior defenders in PFF overall grade (91.1) this past season.",
6,6,Las Vegas Raiders,Tetairoa McMillan,WR,Arizona,,The Raiders need juice in an offense that ranked near last in explosive plays last season. McMillan offers All-Pro potential with a 6-foot-5 frame. He racked up 92 career plays of 15-plus yards with 43 missed tackles. He also recorded 90.0-plus PFF receiving grades at each level of the field and dominated man coverage in 2024 (89.1).,
7,7,New York Jets,Tyler Warren,TE,Penn State,,The Jets' tight end room is devoid of top-end talent. That changes with Tyler Warren in the fold. Warren led all Power-Four tight ends with a 93.4 PFF receiving grade in 2024. He should also help in the run game as a nasty blocker who fits in with New York's goals in that facet.,
8,8,Carolina Panthers,Will Johnson,CB,Michigan,,The Panthers need a more consistent coverage core after allowing the second-highest explosive pass play rate last season (17.6%). Will Johnson allowed a 49.8 passer rating in coverage over his career at Michigan while excelling in both man and zone schemes.,
9,9,New Orleans Saints,Will Campbell,T,LSU,,"Campbell serves as immediate help and a potential long-term succession plan. His 85th-percentile PFF grade on true pass sets will provide immediate relief, whereas four Saints starters at left guard last season earned a combined 48.3 PFF pass-blocking grade. He can shift to right tackle if Trevor Penning‘s fifth-year option is declined.",
10,10,Chicago Bears,Armand Membou,T,Missouri,,"Membou completes the Bears' offensive line overhaul to kick off the Ben Johnson era. He could take the starting left tackle job right away or have time to develop while providing tackle/guard depth. Membou earned an 85.9 PFF pass-blocking grade in 2024, which will go a long way toward keeping Caleb Williams upright.",
