,,Dynasty Nerds,,ESPN,,PFF,,,FantasyPros Dynasty,,,Notes
,Player,Pos,Overall,Pos,Overall,Pos,Overall,Tier (Overall),Pos,Overall,Tier (Position),
QB,,,,,,,,,,,,
1,J. Hurts,4,-,4,27,4,32,-,5,42,2,
2,D. Maye (T),11,-,11,75,14,101,-,11,70,3,
3,B. Nix (T),12,-,8,65,8,77,-,9,69,3,
4,K. Murray,13,-,10,74,9,81,-,12,73,3,
,C. Ward (R),16,,21,163,17,124,-,21,128,4,
5,M. Penix (T),21,-,16,104,23,141,-,20,127,4,
,S. Sanders (R),23,,22,164,24,156,-,25,150,5,
,J. Milroe (R),26,,-,-,27,200,-,33,219,5,
6,A. Richardson (T),28,-,25,167,26,179,-,26,148,5,
*,J. Dart (R),29,,33,216,30,210,-,30,194,5,
,T. Shough (R),30,,-,-,-,-,-,43,321,7,
,W. Howard (R),33,,-,-,31,217,-,59,461,7,
,,,,,,,,,,,,
,,,,,,,,,,,,
RB,,,,,,,,,,,,
1,J. Gibbs,2,-,2,3,3,11,-,2,6,1,
,A. Jeanty (R),3,,3,11,2,6,-,3,11,1,
2,B. Hall,4,-,9,30,12,31,-,7,22,2,
*,T. Henderson (R),7,,17,67,11,30,-,17,58,3,
*,O. Hampton (R),8,,25,88,6,18,-,9,31,3,
3,J. Taylor,10,-,7,17,7,25,-,6,20,2,
4,B. Irving,11,-,10,31,5,14,-,8,27,2,
*,Q. Judkins (R),12,,27,94,13,33,-,27,94,4,
5,J. Jacobs,15,-,12,35,18,52,-,12,36,3,
6,C. Brown,17,-,19,69,17,47,-,13,46,3,
,C. Skattebo (R),20,,38,126,16,41,-,43,159,6,
,K. Johnson (R),22,,40,152,14,36,-,31,113,5,
7,A. Kamara,23,-,16,64,25,80,-,21,71,4,
,D. Sampson (R),28,,37,125,20,66,-,52,178,6,
8,B. Robinson,31,-,33,109,27,87,-,24,88,4,
9,D. Swift,32,-,22,83,38,115,-,33,116,5,
,,,,,,,,,,,,
,,,,,,,,,,,,
WR,,,,,,,,,,,,
1,A. St. Brown,3,-,5,7,7,10,-,5,7,2,
2,R. Odunze (T),14,-,23,44,26,53,-,20,37,4,
3,T. Higgins,15,-,15,33,14,27,-,15,26,3,
4,L. McConkey (T),16,-,12,24,10,17,-,11,17,3,
*,T. McMillan (R),19,,19,39,16,35,-,18,34,4,
5,J. Waddle,21,-,29,58,28,56,-,26,49,4,
*,E. Egbuka (R),22,,32,61,25,51,-,76,147,8,
6,D. Metcalf,24,-,35,72,32,63,-,24,47,4,
,T. Hunter (R),28,,18,38,29,57,-,99,196,8,
7,B. Aiyuk,30,-,41,81,36,71,-,29,59,4,
8,T. Hill,34,-,34,71,38,73,-,30,60,5,
*,R. Pearsall,38,-,42,88,51,112,-,41,93,6,But maybe he should be
,L. Burden III (R),41,-,31,60,20,45,-,43,96,6,
9,C. Kupp,44,-,52,113,59,146,-,50,117,6,
10,J. Downs,48,-,49,106,49,108,-,38,81,5,
*,J. McMillan,49,-,48,105,50,111,-,42,95,6,This was the target
,J. Noel (R),50,-,69,140,65,159,-,59,138,7,
,C. Tillman,52,-,64,134,62,153,-,64,151,7,
,T. Harris (R),53,-,57,118,58,143,-,55,131,7,
,J. Higgins (R),58,-,59,120,35,69,-,58,134,7,
,J. Royals (R),63,-,-,-,63,154,-,75,179,7,
11,D. Douglas,76,-,80,183,78,190,-,78,193,8,
,,,,,,,,,,,,
,,,,,,,,,,,,
TE,,,,,,,,,,,,
1,S. LaPorta,3,-,3,40,3,39,-,3,39,1,
*,T. Warren (R),4,-,6,52,4,42,-,6,75,2,
,C. Loveland (R),6,-,9,95,7,64,-,11,86,3,
2,M. Andrews,10,-,8,63,10,94,-,8,80,2,
3,K. Pitts,12,-,14,127,13,123,-,13,101,3,
,C. Kmet,19,-,27,205,24,199,-,20,140,4,
,M. Taylor (R),21,-,-,-,29,214,-,42,254,6,
?,L. Lachey (R),22,-,-,-,-,-,-,53,371,6,I remember reading something about this guy
4,P. Freiermuth,23,-,18,147,23,198,-,18,132,4,
,,,,,,,,,,,,
,,,,,,,,,,,,
K,,,,,,,,,,,,
1,C. McLaughlin,-,-,-,-,-,-,-,26,370,5,
,,,,,,,,,,,,
DST,,,,,,,,,,,,
1,Denver,-,-,-,-,-,-,-,3,269,1,"For the season, ranked #1"
