Round 1,,,,,,,
Pick,Rnd. Pick,Team,Player,Pos.,College,Actual,Notes
1,1,Tennessee Titans,Cam Ward,QB,Miami,,-
2,2,Cleveland Browns,Travis Hunter,WR/CB,Colorado,,-
3,3,New York Giants,Abdul Carter,EDGE,Penn State,,-
4,4,New England Patriots,Will Campbell,OT,LSU,,-
5,5,Jacksonville Jaguars,Mason Graham,DL,Michigan,,-
6,6,Las Vegas Raiders,Ashton Jeanty,RB,Boise State,,-
7,7,New York Jets,Armand Membou,OT,Missouri,,-
8,8,Carolina Panthers,Jalon Walker,LB,Georgia,,-
9,9,New Orleans Saints,Shedeur Sanders,QB,Colorado,,-
10,10,Chicago Bears,Tyler Warren,TE,Penn State,,-
11,11,San Francisco 49ers,Will Johnson,CB,Michigan,,-
12,12,Dallas Cowboys,Omarion Hampton,RB,North Carolina,,-
13,13,Miami Dolphins,Jahdae Barron,CB,Texas,,-
14,14,Indianapolis Colts,Colston Loveland,TE,Michigan,,-
15,15,Atlanta Falcons,Mike Green,EDGE,Marshall,,-
16,16,Arizona Cardinals,Matthew Golden,WR,Texas,,-
17,17,Cincinnati Bengals,Jihaad Campbell,LB,Alabama,,-
18,18,Seattle Seahawks,Kelvin Banks Jr.,OL,Texas,,-
19,19,Tampa Bay Buccaneers,Nick Emmanwori,S,South Carolina,,-
20,20,Denver Broncos,Tetairoa McMillan,WR,Arizona,,-
21,21,Pittsburgh Steelers,Derrick Harmon,DL,Oregon,,-
22,22,Los Angeles Chargers,Grey Zabel,OL,North Dakota State,,-
23,23,Green Bay Packers,Mykel Williams,EDGE,Georgia,,-
24,24,Minnesota Vikings,Donovan Jackson,OL,Ohio State,,-
25,25,Houston Texans,Josh Conerly Jr.,OT,Oregon,,-
26,26,Los Angeles Rams,Jaxson Dart,QB,Ole Miss,,-
27,27,Baltimore Ravens,Malaki Starks,S,Georgia,,-
28,28,Detroit Lions,Donovan Ezeiruaku,EDGE,Boston College,,-
29,29,Washington Commanders,Shemar Stewart,EDGE,Texas A&M,,-
30,30,Buffalo Bills,Maxwell Hairston,CB,Kentucky,,-
31,31,Kansas City Chiefs,Josh Simmons,OT,Ohio State,,-
32,32,Philadelphia Eagles,James Pearce Jr.,EDGE,Tennessee,,-
