Rank,Player,Team,Position,Age,Best Draft Position,Worst Draft Position,Average Draft Position,Draft Position Standard Deviation
89,Ricky Pearsall,SF,WR 39,24,64,118,89.4,15.4
106,Jayden Higgins,HOU,WR 48,22,68,309,107.6,48.5
114,Dak Prescott,DAL,QB 19,31,74,148,114.1,15.6
117,Jalen McMillan,TB,WR 53,23,94,169,120.4,16.4
127,Dallas Goedert,PHI,TE 16,30,81,174,129.8,18.3
134,Justin Fields,NYJ,QB 22,26,95,159,137.2,16
139,Christian Kirk,HOU,WR 58,28,124,190,145.5,18.6
140,Rashod Bateman,BAL,WR 59,25,128,194,146.7,17.8
141,Cedric Tillman,CLE,WR 60,25,121,196,148.9,21.7
142,Kyle Williams,NE,WR 61,22,94,311,149.9,46.2
147,Jack Bech,LV,WR 63,22,103,314,142.6,46.8
150,Marvin Mims Jr.,DEN,WR 64,23,128,180,148.4,15.2
151,Jordan Mason,MIN,RB 42,26,121,222,160.7,25.7
157,Tank Dell,HOU,WR 66,25,127,237,167.9,28.5
160,Elijah Arroyo,SEA,TE 22,22,116,316,169.6,48.7
168,Jalen Coker,CAR,WR 69,23,133,244,180.2,24.6
171,DeMario Douglas,NE,WR 71,24,127,230,183.3,23.8
173,Rico Dowdle,CAR,RB 50,27,104,210,174.8,25.2
176,Adonai Mitchell,IND,WR 73,22,137,257,177.8,26.9
179,Dontayvion Wicks,GB,WR 75,24,158,218,183.6,15.4
180,Cole Kmet,CHI,TE 24,26,129,247,184.2,29.5
181,Harold Fannin Jr.,CLE,TE 25,20,125,318,186.2,45.8
183,Terrance Ferguson,LAR,TE 27,22,117,323,179.4,53.4
184,Tyler Allgeier,ATL,RB 53,25,155,278,191.4,28.6
185,Christian Watson,GB,WR 76,26,147,293,192.8,36.8
186,Brenton Strange,JAC,TE 28,24,125,331,194.2,52.2
187,Chig Okonkwo,TEN,TE 29,25,154,240,195.8,22.7
188,Jalen Royals,KC,WR 77,22,135,252,186.2,34.4
189,Dylan Sampson,CLE,RB 54,20,129,322,187.5,41.6
190,DJ Giddens,IND,RB 55,21,160,321,208.2,34.6
191,Joshua Palmer,BUF,WR 78,25,152,238,188.4,27.7
192,Mike Gesicki,CIN,TE 30,29,156,308,199.4,30.8
194,Diontae Johnson,CLE,WR 79,29,145,255,205.5,26.2
198,Devin Neal,NO,RB 58,21,128,293,201.2,47.8
202,Theo Johnson,NYG,TE 34,24,177,265,200.5,19.2
203,Amari Cooper,FA,WR 82,31,124,315,193.4,49.5
205,Roschon Johnson,CHI,RB 60,24,160,278,216.1,28.5
206,Michael Wilson,ARI,WR 83,25,168,286,206.6,28.6
208,Alec Pierce,IND,WR 85,25,160,260,199.9,28.6
209,Roman Wilson,PIT,WR 86,24,171,284,212.3,30.6
210,Russell Wilson,NYG,QB 30,36,153,304,214.6,41.6
211,Troy Franklin,DEN,WR 87,22,173,259,207.5,25.8
214,Andrei Iosivas,CIN,WR 88,25,173,269,216.8,23.4
215,Pat Bryant,DEN,WR 89,22,120,346,217.2,63
216,Juwan Johnson,NO,TE 35,28,183,312,227.8,35.7
217,Nick Chubb,HOU,RB 61,29,186,291,228.6,29.4
218,Aaron Rodgers,PIT,QB 33,41,142,332,225.8,47.6
219,Ollie Gordon II,MIA,RB 62,21,169,350,239.1,46
220,Darius Slayton,NYG,WR 90,28,195,311,239.9,30
221,Jarquez Hunter,LAR,RB 63,22,129,326,219.8,51.3
222,Elijah Moore,BUF,WR 91,25,193,260,220.9,22
224,Jalen Tolbert,DAL,WR 93,26,164,313,234.7,32.3
226,Noah Fant,SEA,TE 36,27,186,276,225.6,26.8
227,Daniel Jones,IND,QB 34,28,154,310,226.3,41.1
228,Audric Estime,DEN,RB 65,21,195,306,236.9,32
229,Tory Horton,SEA,WR 94,22,169,344,236.9,47.6
230,Jaleel McLaughlin,DEN,RB 66,24,192,308,246.3,36.6
231,Jordan Whittington,LAR,WR 95,24,202,292,238.9,22.3
232,Malik Washington,MIA,WR 96,24,194,280,229.8,22.4
233,Devaughn Vele,DEN,WR 97,27,197,340,244.1,38.6
