Pos.,Player,Fantasy Pros Preseason,Fantasy Pros Dynasty,ESPN Preseason,Mike Clay Dynasty
QB,Jalen Hurts,4,5,4,27
QB,Bo Nix,8,8,8,62
QB,Kyler Murray,9,12,9,75
QB,Drake Maye,16,10,15,82
QB,Michael Penix Jr.,24,20,24,118
QB,Anthony Richardson,29,28,N/A,173
RB,Jahmyr Gibbs,2,2,2,4
RB,Bucky Irving,8,6,8,29
RB,Josh Jackobs,9,12,10,36
RB,Chase Brown,10,13,13,65
RB,Jonathan Taylor,11,8,9,25
RB,Breece Hall,13,7,17,34
RB,Alvin Kamara,14,24,16,61
RB,TreVeyon Henderson,25,15,28,45
RB,Brian Robinson Jr.,31,26,32,145
RB,Bhayshul Tuten,53,39,N/A,97
WR,Amon-Ra St. Brown,6,5,5,8
WR,Ladd McConkey,11,10,11,23
WR,Tee Higgins,14,25,12,31
WR,Tyreek Hill,16,31,13,72
WR,DK Metcalf,23,23,23,77
WR,Jaylen Waddle,27,27,29,55
WR,Rome Odunze,37,20,34,43
WR,Josh Downs,42,41,52,112
WR,Cooper Kupp,46,55,42,121
WR,Luther Burden III,54,37,N/A,68
TE,Sam LaPorta,4,3,4,39
TE,Mark Andrews,9,9,8,87
TE,Tyler Warren,13,6,12,60
TE,Kyle Pitts,19,14,19,127
TE,Pat Freiermuth,20,19,18,141
K,Chase McLaughlin,,,,
DST,Denver,,,,
